OBJECTID,NPU,STATISTICA,POP2010,NEIGHBORHO,URL,A,pop,white,black,asian,other,hispanic,GlobalID,last_edited_date
21,NPU T,T04,4341,West End,http://documents.atlantaregional.com/AtlantaProfiles/T04.pdf,West End,4341,3.9,90.4,0.9,2.4,2.4,{A5CB4848-2BA3-44C5-AB9E-09FF93A18805},
22,NPU T,T01,2072,"Ashview Heights, Harris Chiles, Just Us",http://documents.atlantaregional.com/AtlantaProfiles/T01.pdf,Ashview Heights,2072,1.6,95.5,0,1.6,1.3,{F9F5601A-0550-4EAE-8871-6FC1373B39DE},2017/11/14 17:44:47+00
23,NPU T,T02,6729,"Atlanta University Center, The Villages at Castleberry Hill",http://documents.atlantaregional.com/AtlantaProfiles/T02.pdf,AUC,6729,0.5,94.2,0.2,2.1,3.1,{48C24331-26C8-45E6-B219-EE8F36651808},2017/11/14 17:44:28+00
24,NPU J,J01,2730,"Center Hill, Harvel Homes Community",http://documents.atlantaregional.com/AtlantaProfiles/J01.pdf,"Center Hill, Harvel Homes Community",2730,1.4,95.8,0.2,1.2,1.4,{F9F068A6-87B2-4B87-BA92-708ABABC95F8},
25,NPU J,J03,3625,"Dixie Hills, Penelope Neighbors, West Lake",http://documents.atlantaregional.com/AtlantaProfiles/J03.pdf,"Dixie Hills, Penelope Neighbors, West Lake",3625,1.1,96.6,0,1.1,1.2,{28BCC932-908E-4421-9968-28E7E1A90859},
26,NPU C,C03,3516,"Brandon, Castlewood, Westminster/Milmar, Woodfield",http://documents.atlantaregional.com/AtlantaProfiles/C03.pdf,"Brandon, Castlewood, Westminster/Milmar, Woodfield",3516,93.7,1.8,2.2,0.6,1.7,{91321B0B-A6CA-4D63-9854-03F4A6924705},
27,NPU A,A02,4207,"Kingswood, Mt. Paran/Northside, Mt. Paran Parkway, Randall Mill, West Paces Ferry/Northside, Whitewater Creek",http://documents.atlantaregional.com/AtlantaProfiles/A02.pdf,"Kingswood, Mt. Paran/Northside, Mt. Paran Parkway, Randall Mill, West Paces Ferry/Northside, Whitewater Creek",4207,91,2.3,3.3,1.4,2.1,{014226BF-58A7-4CE2-A96E-F22FA957DD71},
28,NPU X,X03,2702,Hammond Park,http://documents.atlantaregional.com/AtlantaProfiles/X03.pdf,Hammond Park,2702,5.5,82.8,1.5,1.3,8.9,{687E0D3A-1EAA-457D-8687-6653E1D06FF7},
29,NPU Z,Z03,5972,"Blair Villa/Poole Creek, Glenrose Heights, Orchard Knob, Rosedale Heights",http://documents.atlantaregional.com/AtlantaProfiles/Z03.pdf,"Blair Villa/Poole Creek, Glenrose Heights, Orchard Knob, Rosedale Heights",5972,1,94.3,0.4,1.7,2.6,{7E713B69-CF1F-45BE-B605-E5526606964A},
30,NPU Z,Z05,2255,South River Gardens,http://documents.atlantaregional.com/AtlantaProfiles/Z05.pdf,South River Gardens,2255,1.6,94.2,0.1,1.3,2.8,{F1FF2C96-6EE9-472F-9770-EF1A1373D629},
